Begin_Date,Title,Company,Station,Epesodes,Character_count,Character_count_no_space
1/3/00,POPEE the ぱフォーマー,瑞鷹,KIDS STATION,39,16,14
1/5/00,ブギーポップは笑わない Boogiepop Phantom,マッドハウス,TXN,12,29,27
1/10/00,女神候補生,XEBEC,NHK-BS2,11,5,5
1/10/00,六門天外モンコレナイト,スタジオディーン,TX,51,11,11
1/26/00,風まかせ月影蘭,マッドハウス,WOWOW,13,7,7
1/27/00,OH!スーパーミルクチャン,ぴえろ,WOWOW,12,13,13
2/5/00,マシュランボー,東映アニメーション,EX,32,7,7
2/5/00,マイアミ☆ガンズ,グループ・タック,MBS,13,8,8
2/6/00,おジャ魔女どれみ♯,東映アニメーション,ABC,49,9,9
2/6/00,ニャニがニャンだー ニャンダーかめん,サンライズ,NBN,83,18,17
3/28/00,だぁ!だぁ!だぁ!,J.C.STAFF,NHK-BS2,78,9,9
4/1/00,モンスターファーム 〜伝説への道〜,トムス・エンタテインメント,CBC,25,17,16
4/1/00,GREGORY HORROR SHOW - THE SECOND GUEST -,ミルキーカートゥーン,EX,25,40,33
4/2/00,デジモンアドベンチャー02,東映アニメーション,CX,50,13,13
4/3/00,へろへろくん,スタジオフラッグ、スタジオボギー,NHK教育,104,6,6
4/3/00,ゲートキーパーズ,GONZO,WOWOW,24,8,8
4/4/00,陽だまりの樹,マッドハウス,NTV,25,6,6
4/4/00,幻想魔伝 最遊記,スタジオぴえろ,TX,50,8,7
4/4/00,銀装騎攻オーディアン,プラム,WOWOW,24,10,10
4/4/00,ドキドキ♡伝説 魔法陣グルグル,日本アニメーション,TX,38,15,14
4/5/00,トランスフォーマー カーロボット,ぎゃろっぷ,TX,39,16,15
4/5/00,タイムボカン2000 怪盗きらめきマン,タツノコプロ,TX,26,19,18
4/8/00,サクラ大戦,マッドハウス,TBS、MBS,25,5,5
4/11/00,BOYS BE…,ハルフィルムメーカー,WOWOW,13,8,7
4/11/00,ファーブル先生は名探偵,イージー・フイルム,NHK-BS2,26,11,11
4/14/00,星界の戦旗（第1期）,サンライズ,WOWOW,13,10,10
4/14/00,コレクター・ユイ（第2期）,日本アニメーション,NHK教育,26,13,13
4/15/00,アニメ浪曲紀行 清水次郎長伝,トマソン,MBS,30,14,13
4/17/00,うちゅう人 田中太郎,スタジオ雲雀,TX,24,10,9
4/18/00,遊☆戯☆王デュエルモンスターズ,スタジオぎゃろっぷ,TX,224,15,15
4/19/00,ラブひな,XEBEC,TX,26,4,4
4/20/00,妖しのセレス,スタジオぴえろ,WOWOW,24,6,6
4/26/00,NieA_7,トライアングルスタッフ,WOWOW,13,6,6
7/7/00,メダロット魂,トランス・アーツ,TX,39,6,6
7/7/00,とっとこハム太郎,トムス・エンタテインメント,TX,193,8,8
7/11/00,ストレンジドーン,ハルフィルムメーカー,WOWOW,13,8,8
7/21/00,BRIGADOON まりんとメラン,サンライズ,WOWOW,26,17,16
7/26/00,HAND MAID メイ,ティー・エヌ・ケー,WOWOW,11,12,10
10/2/00,闇の末裔,J.C.STAFF,WOWOW,13,4,4
10/2/00,デジタル所さん,ポリゴン・ピクチュアズ,NTV,245,7,7
10/2/00,ハムスター倶楽部,ベガエンタテイメント,TX,130,8,8
10/3/00,はじめの一歩,マッドハウス,NTV,76,6,6
10/3/00,ヴァンドレッド,GONZO,WOWOW,13,7,7
10/4/00,グラビテーション,スタジオディーン,WOWOW,13,8,8
10/4/00,GEAR戦士電童,サンライズ,TX,38,8,8
10/5/00,アルジェントソーマ,サンライズ,TX,26,9,9
10/6/00,勝負師伝説 哲也,東映アニメーション,EX,20,8,7
10/6/00,BARRY PARTY,,EX,26,11,10
10/6/00,Sci-Fi HARRY,A.P.P.P.,EX、NBN,20,12,11
10/7/00,真・女神転生デビチル,東京ムービー,CBC,50,10,10
10/7/00,GREGORY HORROR SHOW - THE LAST TRAIN -,ミルキーカートゥーン,EX,26,38,31
10/8/00,ベイビーフィリックス,RADIX,NHK教育,65,10,10
10/13/00,無敵王トライゼノン,イージー・フイルム,TBS、MBS、CBC,22,9,9
10/16/00,犬夜叉,サンライズ,YTV,167,3,3
10/16/00,サイバーシックス,トムス・エンタテインメント、NOA,KIDS STATION,13,8,8
10/16/00,人造人間キカイダー THE ANIMATION,RADIX、スタジオOX,KIDS STATION,12,23,21
10/22/00,学校の怪談,スタジオぴえろ,CX,19,5,5
10/24/00,機巧奇傳ヒヲウ戦記,ボンズ,NHK-BS2,26,9,9
11/6/00,ドッとKONIちゃん,シャフト,ANIMAX,26,10,10
12/2/00,すてき!さくらママ,エイケン,BSフジ,18,9,9
12/4/00,ピポパポパトルくん,東映アニメーション,BSフジ,65,9,9
1/6/01,ゾイド新世紀/ゼロ,XEBEC,MBS,26,9,9
1/8/01,グラップラー刃牙,グループ・タック,TXN,24,8,8
1/8/01,爆転シュート ベイブレード,マッドハウス,TX,51,13,12
1/8/01,テイルズ オブ エターニア THE ANIMATION,XEBEC,WOWOW,13,27,23
1/9/01,地球防衛家族,グループ・タック,WOWOW,14,6,6
1/9/01,地球少女アルジュナ,サテライト,TXN,13,9,9
1/17/01,破壊魔定光,スタジオディーン,WOWOW,10,5,5
1/20/01,すしあざらし,M.S.C,EX,30,6,6
2/4/01,も〜っと! おジャ魔女どれみ,東映アニメーション,ABC,50,14,13
2/10/01,イナズマあざらし,,EX,16,8,8
2/18/01,サラリーマン金太郎,ジェイ・シー・エフ,BS-i,20,9,9
3/5/01,Dr.リンにきいてみて!,スタジオコメット,TX,51,12,12
4/1/01,RUN=DIM,,TX,13,7,7
4/1/01,デジモンテイマーズ,東映アニメーション,CX,51,9,9
4/1/01,超GALS! 寿蘭,スタジオぴえろ,TX,52,9,8
4/1/01,機動天使エンジェリックレイヤー,ボンズ,TX,26,15,15
4/1/01,Cosmic Baton Girl コメットさん☆,日本アニメーション,TVO,43,25,22
4/2/01,こみっくパーティー,OLM,UHF,13,9,9
4/3/01,魔法戦士リウイ,J.C.STAFF,WOWOW,24,7,7
4/3/01,スターオーシャンEX,スタジオディーン,TX,26,10,10
4/3/01,ジャングルはいつもハレのちグゥ,シンエイ動画,TX,26,15,15
4/4/01,シスター♥プリンセス,ZEXCS,TXN,26,10,10
4/4/01,新白雪姫伝説プリーティア,ハルフィルムメーカー,WOWOW,13,12,12
4/4/01,The Soul Taker 〜魂狩〜,タツノコプロ,WOWOW,13,19,16
4/5/01,ノワール,ビィートレイン,TX,26,4,4
4/5/01,ジーンシャフト,サテライト、スタジオガゼル,WOWOW,13,7,7
4/5/01,破邪巨星Gダンガイオー,AIC,EX,13,11,11
4/6/01,電脳冒険記ウェブダイバー,RADIX,TX,52,12,12
4/6/01,"Z.O.E Dolores, i",サンライズ,TXN,26,16,14
4/7/01,仰天人間バトシーラー,グループ・タック,TVA,52,10,10
4/7/01,PROJECT ARMS,東京ムービー,TX,26,12,11
4/7/01,ギャラクシーエンジェル（第1期）,マッドハウス,ANIMAX,26,16,16
4/7/01,逮捕しちゃうぞ SECOND SEASON,スタジオディーン,TBS,26,21,19
4/7/01,GREGORY HORROR SHOW - THE BLOODY KARTE -,ミルキーカートゥーン,EX,12,40,33
4/10/01,探偵少年カゲマン,スタジオ雲雀,NHK教育,39,8,8
4/11/01,パチスロ貴族 銀,A-Line,CX,23,8,7
4/12/01,花右京メイド隊,童夢,UHF,12,7,7
4/12/01,鋼鉄天使くるみ2式,OLM,UHF,12,9,9
4/14/01,パラッパラッパー,J.C.STAFF,CX,30,8,8
4/14/01,ゴーゴー五つ子ら・ん・ど,マジックバス,TBS,96,12,12
5/8/01,学園戦記ムリョウ,マッドハウス,NHK-BS2,26,8,8
5/10/01,オフサイド,葦プロダクション,ANIMAX,39,5,5
5/10/01,だいすき! ぶぶチャチャ,童夢,NHK-BS2,26,12,11
5/20/01,チャンス〜トライアングルセッション〜,マッドハウス,TXN,13,18,18
5/27/01,フィギュア17 つばさ&ヒカル,OLM,AT-X,13,15,14
